Brand,rating,price
Skechers,4.4,3299.00
Skechers,4.8,3224.00
Skechers,4.4,0.00
Skechers,4.6,2348.00
Skechers,4.6,2549.00
Skechers,3.7,4554.00
Skechers,4.2,4590.00
Skechers,4.7,1781.00
Skechers,4.2,3947.00
Skechers,4.3,4199.00
Skechers,4.7,2003.00
Skechers,4.5,2689.00
Skechers,4.1,0.00
Skechers,4.5,3999.00
Skechers,4.1,4267.00
Skechers,5,5999.00
Skechers,4.5,2999.00
Skechers,3.2,0.00
Skechers,4.6,2732.00
Skechers,4.2,3599.00
Skechers,4.4,4858.00
Skechers,4,3359.00
Skechers,3.8,3719.00
Skechers,4.2,0.00
Skechers,4.5,2999.00
Skechers,3.2,0.00
Skechers,4.6,2732.00
Skechers,4.2,3599.00
Skechers,4.5,3522.00
Skechers,4.3,4858.00
Skechers,4.4,4858.00
Skechers,4,3359.00
Skechers,3.8,3719.00
Skechers,4.2,0.00
Skechers,4.6,3189.00
Skechers,4,4799.00
Skechers,4,2999.00
Skechers,4.2,8249.00
Skechers,3.7,3059.00
Skechers,4.5,0.00
Skechers,4.7,5199.00
Skechers,4,3481.00
Skechers,4.3,2530.00
Skechers,5,2099.00
Skechers,4.1,3299.00
Skechers,5,4899.00
Skechers,4.6,3059.00
Skechers,5,0.00
Skechers,3.6,3599.00
Skechers,4.1,1925.00
Skechers,4.7,0.00
Skechers,5,3849.00
Skechers,4.5,0.00
Skechers,4.8,2003.00
Skechers,4.1,5399.00
